subject,predicaat,klasse,tekst,match_type,vmm_term,vmm_uri,vmm_definitie
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_964,verkorteNotatie,Parameter,Chloorethaan,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_2812,prefLabel,OrganisatieSpecifiekeReferentie,OSR_2812,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_4901,prefLabel,OrganisatieSpecifiekeReferentie,OSR_4901,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_2920,prefLabel,OrganisatieSpecifiekeReferentie,OSR_2920,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_807,prefLabel,Parameter,Trichlooretheen in vaste deel van de aarde,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4248,altLabel,Parameter,Perfluoroctadecaanzuur (PFODA) Eluaat LS10,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1292,altLabel,Parameter,Cyaniden niet-chloor oxydeerbaar,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2409,prefLabel,Parameter,1-Penteen in lucht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1825,verkorteNotatie,Parameter,Dapsone,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2949,verkorteNotatie,Parameter,Perfluorhexaansulfonamide (PFHxSA),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_6778,prefLabel,ParameterAspect,CBz LS10 (Eluaat LS10 in vaste deel van de aarde): massaconcentratie,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2586,prefLabel,Parameter,Cadmium in TSP,bevat_vmm_term,tsp,https://vmm.vlaanderen.be/woordenboek/tsp,"Totaal stof. Een mengsel van deeltjes van uiteenlopende samenstelling en afmetingen in de lucht. De deeltjes worden ingedeeld in fracties op basis van hun grootte, namelijk PM10, PM2,5, PM1 en PM0,1."
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2258,verkorteNotatie,Parameter,Diallaat,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_108,prefLabel,OrganisatieSpecifiekeReferentie,OSR_108,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_5890,prefLabel,OrganisatieSpecifiekeReferentie,OSR_5890,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_814,altLabel,Parameter,Dichloorvos,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_1359,prefLabel,ParameterAspect,3CTol (standaard in water): massaconcentratie,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4222,altLabel,Parameter,Perfluordodecaansulfonzuur (PFDoDS),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4025,prefLabel,Parameter,"Apolaire koolwaterstoffen, fractie C30-C36 in vaste deel van de aarde",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_761,prefLabel,Variabele,"2,5-Dichloorfenol",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_620,verkorteNotatie,Parameter,Koolstof organisch totaal,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3397,altLabel,Parameter,"3,4,5-Trichloorfenol",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_526,prefLabel,Parameter,beta-Endosulfan in vaste deel van de aarde,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3237,prefLabel,Parameter,"1,2,3,4,6,7,8-Heptachloordibenzo-para-dioxine in lucht",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2339,verkorteNotatie,Parameter,Abamectine B1a,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameterAfleiding/AFL_37,prefLabel,ParameterAfleidingVeelterm,som van 34 PFAS + 6 PFAS,bevat_vmm_term,pfas,https://vmm.vlaanderen.be/woordenboek/pfas,"Poly- en perfluoralkylstoffen zijn chemische stoffen die door de mens zijn gemaakt. Zij komen van nature niet in het milieu voor. Ze worden in vele industriële toepassingen en consumentenproducten gebruikt. Denk aan de teflon anti-aanbaklaag in pannen, cosmetica, textiel, brandblusschuim, schoonmaakmiddelen of smeermiddelen . PFAS kunnen schadelijke effecten hebben op de gezondheid van mensen."
https://data.omgeving.vlaanderen.be/id/concept/csor/eenheid/E_174,prefLabel,Eenheid,gram toxiciteit equivalenten per jaar,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_7379,prefLabel,ParameterAspect,8:2 diPAP (standaard in vaste deel van de aarde): massaverhouding,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_7565,prefLabel,OrganisatieSpecifiekeReferentie,OSR_7565,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_1026,prefLabel,OrganisatieSpecifiekeReferentie,OSR_1026,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3471,prefLabel,Parameter,Amosiet in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6525,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6525,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_1367,prefLabel,Variabele,Totaal perfluoroctaansulfonzuur (lineair+vertakt),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4274,prefLabel,Parameter,Propylacetaat in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6362,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6362,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_525,prefLabel,Variabele,"2,3,7,8-Tetrachloordibenzo-para-dioxine",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3861,verkorteNotatie,Parameter,Ethylmetacrylaat,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_3611,prefLabel,ParameterAspect,PFBSA (standaard in water): vracht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_30,prefLabel,ParameterAspect,BPe + IP som (standaard in water): massaconcentratie,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_7715,prefLabel,OrganisatieSpecifiekeReferentie,OSR_7715,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3963,altLabel,Parameter,iso-Valeriaanzuur,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2976,prefLabel,Parameter,Totaal perfluoroctaansulfonzuur (lineair+vertakt) enkel gasvormig in lucht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_476,verkorteNotatie,Parameter,Vanadium opgelost,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_5045,prefLabel,ParameterAspect,Straling uv-A (standaard in lucht): vermogen per oppervlakte,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2125,altLabel,Parameter,N-ethylperfluoroctaan-1-sulfonamide (EtPFOSA),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_399,verkorteNotatie,Parameter,Aluminium,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_1260,prefLabel,ParameterAspect,12CEe (standaard in vaste deel van de aarde): massaverhouding per droge stof,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_5144,prefLabel,OrganisatieSpecifiekeReferentie,OSR_5144,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_7909,prefLabel,ParameterAspect,FTAL (standaard in vaste deel van de aarde): massaverhouding per droge stof,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_3615,prefLabel,ParameterAspect,MePFBSA (standaard in water): vracht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_264,verkorteNotatie,Parameter,Platina totaal,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_2700,prefLabel,OrganisatieSpecifiekeReferentie,OSR_2700,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_1579,prefLabel,OrganisatieSpecifiekeReferentie,OSR_1579,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2872,verkorteNotatie,Parameter,"2,3,3',4,4'-Pentachloorbifenyl (PCB105)",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_526,prefLabel,ParameterAspect,SO4= (standaard in water): massaconcentratie zwavel,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_859,verkorteNotatie,Parameter,sec-Butylbenzeen,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_5225,prefLabel,OrganisatieSpecifiekeReferentie,OSR_5225,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6262,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6262,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_7028,prefLabel,OrganisatieSpecifiekeReferentie,OSR_7028,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1451,prefLabel,Parameter,Quinoxyfen in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_981,verkorteNotatie,Parameter,Fluor totaal,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2165,altLabel,Parameter,"2,3',4,4',6-Pentabroomdifenylether (BDE119)",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_930,prefLabel,OrganisatieSpecifiekeReferentie,OSR_930,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_1612,prefLabel,ParameterAspect,PCB 153 (standaard in water): massaconcentratie,bevat_vmm_term,pcb,https://vmm.vlaanderen.be/woordenboek/pcb,Polychloorbifenylen
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2442,prefLabel,Parameter,pp'Dichloordifenyldichloorethaan in regen,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_919,prefLabel,OrganisatieSpecifiekeReferentie,OSR_919,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2678,verkorteNotatie,Parameter,Fluoride,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1019,prefLabel,Parameter,Acrylonitrile in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_5410,prefLabel,OrganisatieSpecifiekeReferentie,OSR_5410,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_7978,prefLabel,OrganisatieSpecifiekeReferentie,OSR_7978,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6319,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6319,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3322,prefLabel,Parameter,"2,3,4,5-Tetrachloorfenol Eluaat LS10 in vaste deel van de aarde",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_2323,prefLabel,ParameterAspect,BDE 99 (standaard in biota): massaverhouding per nat gewicht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_1747,prefLabel,OrganisatieSpecifiekeReferentie,OSR_1747,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_725,prefLabel,Parameter,"1,4-Dichloorbenzeen in water",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1034,altLabel,Parameter,4-Methylfenol,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_5860,prefLabel,ParameterAspect,PCB 28 (standaard in materiaal): massaconcentratie,bevat_vmm_term,pcb,https://vmm.vlaanderen.be/woordenboek/pcb,Polychloorbifenylen
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3596,verkorteNotatie,Parameter,Butylglycol,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3069,prefLabel,Parameter,Temperatuur in lucht,geen,,,
https://data.omgeving.vlaanderen.be/id/collection/csor/variabele/bio_indicatoren,prefLabel,,Lijst van bio indicatoren.,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2272,verkorteNotatie,Parameter,Ofloxacine,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2947,altLabel,Parameter,Totaal perfluorhexaansulfonzuur (lineair+vertakt),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_759,verkorteNotatie,Parameter,Korrelgrootte distributie <4µm,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4468,prefLabel,Parameter,Zink Eluaat LS10 in vaste deel van de aarde,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_1484,prefLabel,Variabele,Chloormethylbenzeen,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_735,prefLabel,ParameterAspect,Cd o (opgelost in water): vracht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2379,prefLabel,Parameter,11chloorperfluor-3-oxaundecaansulfonzuur in TSP,bevat_vmm_term,tsp,https://vmm.vlaanderen.be/woordenboek/tsp,"Totaal stof. Een mengsel van deeltjes van uiteenlopende samenstelling en afmetingen in de lucht. De deeltjes worden ingedeeld in fracties op basis van hun grootte, namelijk PM10, PM2,5, PM1 en PM0,1."
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_7756,prefLabel,ParameterAspect,Cyanaz (standaard in vaste deel van de aarde): massaverhouding per droge stof,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_851,prefLabel,Variabele,Endrin keton,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4059,altLabel,Parameter,Lithium totaal,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_3552,prefLabel,OrganisatieSpecifiekeReferentie,OSR_3552,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3361,prefLabel,Parameter,"2,5-Dimethylfenol Eluaat LS10 in vaste deel van de aarde",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2688,verkorteNotatie,Parameter,Fenantreen,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2935,altLabel,Parameter,Perfluorheptaansulfonzuur (PFHpS),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_4968,prefLabel,ParameterAspect,Pb (standaard in lucht): vracht per tijd,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_7382,prefLabel,OrganisatieSpecifiekeReferentie,OSR_7382,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_479,verkorteNotatie,Parameter,Zilver,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_7468,prefLabel,OrganisatieSpecifiekeReferentie,OSR_7468,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/soortwaardebepaling/SWB_91,prefLabel,SoortWaardebepaling,Eluaat LS5,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6946,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6946,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_528,altLabel,Parameter,Endosulfansulfaat,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_6376,prefLabel,ParameterAspect,23478PCdBFur (standaard in water): vracht per tijd,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_4280,prefLabel,OrganisatieSpecifiekeReferentie,OSR_4280,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_3465,prefLabel,OrganisatieSpecifiekeReferentie,OSR_3465,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2610,prefLabel,Parameter,Kobalt in wet-only depositie (prec),bevat_vmm_term,depositie,https://vmm.vlaanderen.be/woordenboek/depositie,"De aanvoer van gassen en deeltjes uit de atmosfeer naar oppervlakken zoals bodem, water, vegetatie, ... Dit gebeurt rechtstreeks vanuit de lucht (droge depositie) en via regen, sneeuw en hagel (natte depositie)."
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_636,altLabel,Parameter,3-Chloor-2-methylaniline,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/kwantificeerbaaraspect/KWA_58,prefLabel,KwantificeerbaarAspect,vracht tin,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_5147,prefLabel,ParameterAspect,b2EyHyFt (standaard in lucht): vracht per tijd,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_2178,prefLabel,ParameterAspect,Simaz (standaard in water): vracht,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_4190,altLabel,Parameter,"2,4,4'-Trichloorbifenyl (PCB28)",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_915,prefLabel,Variabele,Aldrin+Dieldrin+Endrin+Isodrin,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1695,altLabel,Parameter,Anorganische tinverbindingen totaal,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6626,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6626,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_535,prefLabel,Variabele,2-Chloortolueen,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_4488,prefLabel,ParameterAspect,HFK (standaard in lucht): vracht per tijd,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6686,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6686,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_2883,prefLabel,ParameterAspect,Surf KID+NID (standaard in water): vracht per tijd,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_6227,prefLabel,ParameterAspect,BrfosMy (standaard in water): vracht per tijd,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_137,altLabel,Parameter,"2,3',4,4',5-Pentachloorbifenyl (PCB118) opgelost",geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_2056,verkorteNotatie,Parameter,4:2 fluortelomeersulfonzuur (4:2 FTS),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/variabele/V_2206,prefLabel,Variabele,Tri-isobutylfosfaat,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3848,altLabel,Parameter,N-ethylperfluoroctaansulfonamidoazijnzuur,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6465,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6465,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameterAfleiding/AFL_70,prefLabel,ParameterAfleidingVeelterm,PFAS-34,bevat_vmm_term,pfas,https://vmm.vlaanderen.be/woordenboek/pfas,"Poly- en perfluoralkylstoffen zijn chemische stoffen die door de mens zijn gemaakt. Zij komen van nature niet in het milieu voor. Ze worden in vele industriële toepassingen en consumentenproducten gebruikt. Denk aan de teflon anti-aanbaklaag in pannen, cosmetica, textiel, brandblusschuim, schoonmaakmiddelen of smeermiddelen . PFAS kunnen schadelijke effecten hebben op de gezondheid van mensen."
https://data.omgeving.vlaanderen.be/id/concept/csor/parameteraspect/PAS_6239,prefLabel,ParameterAspect,Malathion (standaard in water): vracht per tijd,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_687,verkorteNotatie,Parameter,Polyaromatische KWS (2 VVP),geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_3473,altLabel,Parameter,Aminomethylfosfonzuur,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_6690,prefLabel,OrganisatieSpecifiekeReferentie,OSR_6690,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/organisatiespecifiekereferentie/OSR_2294,prefLabel,OrganisatieSpecifiekeReferentie,OSR_2294,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_118,prefLabel,Parameter,Atenolol in water,geen,,,
https://data.omgeving.vlaanderen.be/id/concept/csor/parameter/P_1424,altLabel,Parameter,Calux,geen,,,
